Index,Sample,NH4Results,NOx,PO4,Location
1,20240530-MISS-S1,0.0237,2.346,0.022,1
2,20240530-MISS-S2,0.0121,2.141,0.022,2
3,20240530-MISS-S3,0.0153,2.313,0.028,3
4,20240530-MISS-S4,0.0135,2.08,0.02,4
5,20240530-MISS-S5,0.0129,2.207,0.02,5
6,20240530-MISS-S6,0.0134,2.094,0.012,6
7,20240530-MISS-S7,0.0134,2.256,0.013,7
8,20240530-MISS-S8,0.0257,2.286,0.003,8
9,20240604-SHAF-B5,-0.0024,3.635,0.335,5
10,20240604-SHAF-B6,0.0114,3.283,0.246,6
11,20240604-SHAF-B8,0.0171,5.709,0.242,8
12,20240604-SHAF-B9,0.0075,2.532,0.235,9
13,20240604-SHAF-B10,-0.0039,3.533,0.242,10
14,20240604-SHAF-B11,-0.0031,5.037,0.242,11
15,20240604-SHAF-B12,0.0281,3.994,0.241,12
16,20240604-SHAF-B14,0.0145,3.213,0.254,14
17,20240604-SHAF-B15,0.0003,3.619,0.21,15
18,20240606-SALA-B1,-0.4957,2.815,0.027,1
19,20240606-SALA-B2,-0.495,4.469,0.062,2
20,20240606-SALA-B3,-0.5017,3.435,0.038,3
21,20240606-SALA-B4,-0.5008,2.653,0.011,4
22,20240606-SALA-B5,-0.5021,3.198,0.026,5
23,20240606-SALA-B6,-0.5073,2.917,0.002,6
24,20240606-SALA-B7,-0.5004,2.694,-0.002,7
25,20240606-SALA-B8,-0.5052,2.895,0.001,8
26,20240606-SALA-B9,-0.5032,2.073,-0.003,9
27,20240606-SALA-B10,-0.5015,2.028,-0.001,10
